category,a,b,c
Dead animal on a road or footpath,Dead Animals,Environmental Health,Environmental Health
Fallen branch,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic light / crossing - button/beep/lamp,Traffic Lights,Road Safety,Road Safety & Defects
Overhanging Trees,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Sign (lit),Road Markings,Road Safety,Road Safety & Defects
Road Markings,Road Markings,Road Safety,Road Safety & Defects
Loose chippings,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Bus stop damage,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Emergency - Hanging branch,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Damage: Pedestrian Barrier,Street Furniture,Road Safety,Road Safety & Defects
Street lighting (on adopted highways),Street Lights,Street Lights,Road Safety & Defects
Roadworks,Road Works,Grounds Maintenance,Road Safety & Defects
Problem with fungi,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Domestic Waste - Missed Collection,Missed Bin Collection,Rubbish,Environmental Health
Broken manhole cover,Manhole Defects,Drainage,Environmental Health
Damage to pavement,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Dog Fouling,Dog Fouling,Dog Fouling,Environmental Health
Motorways Defects,Highway Condition,Road Surface Defects,Road Safety & Defects
Shelter/Seat,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Illegal posters,Flyposting,Incivilities,Incivilities
Bad smell,Other,Other,Other
Lewisham Homes,Lewisham Homes,Other,Other
Vehicles for sale on the public road,Other,Other,Other
Hedges / trees on rights of way,Trees and Hedges RoW,Right of Way,Access
Street,Street Cleaning,Rubbish,Environmental Health
Bus stops and shelters,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
On Street Parking,Parking,Parking,Abandoned Vehicles & Parking
Recycling (household waste),Recycling,Rubbish,Environmental Health
Tree Or Shrub on a public right of way,Trees on RoW,Right of Way,Access
Foul water/sewage on Highway,Blocked Drains,Drainage,Environmental Health
When Is The Next Cut Due,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Other
Public right of way - problem with access or damage,Right of Way,Right of Way,Access
Public Conveniences,Public Toilets,Public Toilets,Public Space
Non-Parking related road markings,Road Markings,Road Safety,Road Safety & Defects
Single pothole (less than 30cm wide and,Street Signs,Road Surface Defects,Road Safety & Defects
Light blocked,Street Lights,Street Lights,Road Safety & Defects
Litter On Road/Street Cleaning,Litter/Litter Bin,Rubbish,Environmental Health
Weed problem on the highway,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Flooding,Flooding,Drainage,Environmental Health
Lamp Out,Street Lights,Street Lights,Road Safety & Defects
Animal Nuisance,Dead Animals,Environmental Health,Environmental Health
Flyposting,Flyposting,Incivilities,Incivilities
CP Ticket Machine NonHazard,Other,Other,Other
Tree/Branch Fallen Non Hazard,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Sunken Drain,Manhole Covers,Drainage,Environmental Health
Footpath / pavement problem,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Protected trees (in Conservations Areas),Protected Trees,Other,Other
Road lines / road markings,Road Markings,Road Safety,Road Safety & Defects
Light on during day,Street Lights,Street Lights,Road Safety & Defects
Obstruction on public right of way,Obstruction,Right of Way,Access
Flooded road,Flooding,Drainage,Environmental Health
Empty tree Pit,Other,Other,Other
Street Furniture Enquiry,Street Furniture,Street Furniture,Road Safety & Defects
Dog and litter bins,Dog Litter Bin,Bin Replacement,Environmental Health
"Tree debris (droppings, sap or seeds)",Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Parks/Landscapes,Open Spaces/Parks,Open Spaces/Parks,Public Space
Countdown - not working,Street Signs,Street Furniture,Road Safety & Defects
Grit Bin - empty/refill,Grit Bins,Gritting,Road Safety & Defects
Pictorial Meadow Pruning,Street Furniture,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Salt bin damaged,Salt Bins,Gritting,Road Safety & Defects
Blocked - flooding road/path,Blocked Drains,Drainage,Environmental Health
Dumped rubbish,Dumped Rubbish,Rubbish,Environmental Health
Ditches,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Visibility at junction or bend,Road Safety,Road Safety,Road Safety & Defects
"Bridge, Subway or Culvert on a public right of way",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Bench/ memorial/ cycle hoop damaged or missing,Street Furniture,Street Furniture,Road Safety & Defects
Litter bin full,Litter/Litter Bin,Rubbish,Environmental Health
Hoarding/ scaffold licence,Other,Other,Other
Sign Dirty/Degraded,Street Signs,Road Safety,Road Safety & Defects
Tree touching overhead cables,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grass cutting,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damage - shelter unstable or loose in the ground,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Illegal parking,Parking,Parking,Abandoned Vehicles & Parking
Sign Obstructed: Vegetation,Street Signs,Road Safety,Road Safety & Defects
Property Damaged By Flooding,Flooding,Drainage,Environmental Health
Weeds,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
"Damaged road edge, encroaches less than 100mm",Road Surface Defects,Road Surface Defects,Road Safety & Defects
Car Parks,Parking,Parking,Abandoned Vehicles & Parking
Broken Drain Cover,Manhole Covers,Drainage,Environmental Health
Dead animals,Dead Animals,Environmental Health,Environmental Health
Smelly drain,Grids and Drains,Drainage,Environmental Health
Livestock,Other,Other,Other
Streetspace Feedback,Other,Other,Other
Dog Bin Overflowing,Dog Litter Bin,Bin Replacement,Environmental Health
Pole/signal knocked down,Street Signs,Road Safety,Road Safety & Defects
Recruitment,Other,Other,Other
Street drainage,Blocked Drains,Drainage,Environmental Health
Maintenance / Repairs Issue,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Grass Cutting,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grounds Maintenance,Grounds Maintenance,Grounds Maintenance,Road Safety & Defects
Temporary Traffic Signals,Traffic Lights,Road Safety,Road Safety & Defects
Utilities,Utility Works,Utility Works,Environmental Disruptions
Debris / Obstructions,Debris/Spillage,Rubbish,Environmental Health
Missed bin collection,Missed Bin Collection,Rubbish,Environmental Health
Highway Drainage,Highway Drainage,Drainage,Environmental Health
Burning By Day,Street Lights,Street Lights,Road Safety & Defects
Missing/Broken Sign on a public right of,Street Signs,Right of Way,Access
Kerb not flush / no tactile paving,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Highway Condition (Assets),Highway Condition,Road Surface Defects,Road Safety & Defects
Vegetation or Weeds on a verge or open space,Overgrown Vegetation,Right of Way,Access
Damaged road sign,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Allotment issue,Open Spaces/Parks,Open Spaces/Parks,Public Space
Pavement/footpath issue,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Lining,Litter/Litter Bin,Rubbish,Environmental Health
Verge cutting residential areas,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Fly Tipping on a public right of way,Fly-tipping,Rubbish,Environmental Health
Epicormic Tree Growth,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Lamp Flashing,Street Lights,Street Lights,Road Safety & Defects
Road Signs and Markings,Street Signs,Road Safety,Road Safety & Defects
