category,a,b,c
Request To Refill Grit Bin,Grit Bins,Gritting,Road Safety & Defects
Refuse & recycling,Recycling,Rubbish,Environmental Health
Pothole or other defect,Potholes,Road Surface Defects,Road Safety & Defects
Damaged/missing boundary markers,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Rough/Uneven or Surface Issue,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Damaged bollard or post,Barriers/Bollards on RoW,Road Safety,Road Safety & Defects
Road damage / Pothole,Potholes,Road Surface Defects,Road Safety & Defects
Crossing,Street Signs,Street Furniture,Road Safety & Defects
Damaged Kerb/Aco/Channel Block,Road Works,Grounds Maintenance,Road Safety & Defects
Missing/Broken Sign on a public right of way,Street Signs,Right of Way,Access
Signs/Cones/Bollards/Barriers,Street Signs,Road Safety,Road Safety & Defects
Parking Equipment (Council Car Park),Parking,Parking,Abandoned Vehicles & Parking
Current Roadworks,Road Works,Grounds Maintenance,Road Safety & Defects
Bus stop,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Obstructing The Footway,Overgrown Vegetation,Pavement /Footway Defects,Environmental Disruptions
Tree Wound,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Obstructions on pavements and roads,Obstruction,Right of Way,Access
Parking signs,Parking,Parking,Abandoned Vehicles & Parking
Bridge or culvert defect,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Belisha Beacon Minor Damage,Pavement /Footway Defects,Street Furniture,Road Safety & Defects
Vehicle Barrier Issue,Vehicle Access,Right of Way,Access
Graffiti / Flyposting on street light (non-offensive),Graffiti,Incivilities,Incivilities
Highway Tree Replacement,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Markings/ lines Missing or faded,Gully/Manhole Defects,Drainage,Environmental Health
Vegetation Encroachment,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Communal Back Courts,Other,Other,Other
Lit Signs (Electrical),Lit Signs,Other,Other
Signs on a public right of way,Street Signs,Right of Way,Access
Playground Equipment,Open Spaces/Parks,Open Spaces/Parks,Environmental Disruptions
Poor Parking (Council Car Park),Parking,Parking,Abandoned Vehicles & Parking
Countryside Paths / Public Rights of Way,Countryside RoW,Right of Way,Access
Missing drain or man hole cover,Manhole Covers,Drainage,Environmental Health
Dog waste bin,Dog Litter Bin,Bin Replacement,Environmental Health
Floral Displays,Floral displays,Floral Displays,Other
Noxious weeds,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Illegal Parking,Parking,Parking,Abandoned Vehicles & Parking
Overgrown Vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Unlit Bollard Issue Non Hazard,Street Furniture,Street Furniture,Road Safety & Defects
Dangerous structure,Dangerous Building/Structure,Dangerous Building/Structure,Environmental Disruptions
Fencing/Walls,Pavement /Footway Defects,Dangerous Building/Structure,Road Safety & Defects
Roads and Highways,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Door Missing/ open,Other,Other,Other
Freedom of information,Other,Other,Other
"Obstructions (skips, A boards)",Obstruction,Right of Way,Access
Unpaved OS CP Surface Issue,Road Surface Defects,Pavement /Footway Defects,Road Safety & Defects
Floral displays,Floral displays,Floral Displays,Other
Blocked drainage gullies,Blocked Drains,Drainage,Environmental Health
Request refill of grit bin,Grit Bins,Gritting,Road Safety & Defects
"Damaged dyke, ditch or culvert",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Ditch Problem Hazardous,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Wrongful removal,Other,Other,Other
Fences & barriers,Fences,Fences,Environmental Disruptions
Obstruction on road/cycleway,Obstruction,Right of Way,Access
Potholes / Highway Condition,Potholes,Road Surface Defects,Road Safety & Defects
Shelter needs cleaning (not including litter),Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Road Markings Missing/Faded,Road Markings,Road Safety,Road Safety & Defects
Report missed collection,Missed Bin Collection,Rubbish,Environmental Health
Hedge Oversized,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Dying or diseased tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Salt bin refill,Salt Bins,Gritting,Road Safety & Defects
Gate not closed,Gates/Stiles RoW,Right of Way,Access
Trenches,Trenches,Utility Works,Environmental Disruptions
Pelican/Toucan Crossings,Street Signs,Street Furniture,Road Safety & Defects
Zebra Crossing,Zebra Crossing,Road Safety,Road Safety & Defects
Road Traffic Signs & Markings,Street Signs,Street Furniture,Road Safety & Defects
Fault with temporary traffic signals,Street Signs,Road Safety,Road Safety & Defects
Permanent Traffic Lights,Traffic Lights,Street Furniture,Road Safety & Defects
Pavement Defect (uneven surface / cracked paving slab),Pavement /Footway Defects,Right of Way,Access
Trees (on sites owned by Three Rivers Di,Trees on RoW,Right of Way,Access
Benches / bicycle racks,Benches/Bicycle Racks,Street Furniture,Environmental Disruptions
Roads and pavement surfaces - Overhangin,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Studs/Catseyes Missing/Damaged,Road Markings,Road Safety,Road Safety & Defects
Street Lighting,Street Lights,Street Lights,Road Safety & Defects
Fallen tree across road or pavement,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Trees or shrubs causing obstruction of highway,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Road markings,Road Markings,Road Safety,Road Safety & Defects
Subway light faulty,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Missed Collection (Green Waste),Missed Bin Collection,Rubbish,Environmental Health
Street cleaning and litter,Street Cleaning,Street Furniture,Environmental Health
Graffiti / Flyposting on stop or shelter (offensive),Graffiti,Incivilities,Incivilities
Skips and scaffolding,Skips,Rubbish,Environmental Health
Graffiti/Flyposting: Non-Offen,Graffiti,Incivilities,Incivilities
Damage - pole leaning / equipment detached from pole/facing the wrong direction,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Obstruction on a public right of way,Obstruction,Right of Way,Access
Missed Collection,Missed Bin Collection,Rubbish,Environmental Health
Cleanliness Sub Standard,Other,Other,Other
Planter Damage Hazard,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Public Space
Pedestrian guard rail missing/damaged,Pavement /Footway Defects,Right of Way,Access
Dogs and Dogs Fouling,Dog Fouling,Dog Fouling,Environmental Health
Debris/Spillage,Debris/Spillage,Rubbish,Environmental Health
Tree Dead/Dying/Diseased,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Barrier/Bollard on a public right of way,Barriers/Bollards on RoW,Right of Way,Access
Double Yellow Lines,Street Signs,Road Safety,Road Safety & Defects
Street Light Wiring Exposed,Street Lights,Street Lights,Road Safety & Defects
Grit Bins,Grit Bins,Gritting,Road Safety & Defects
Multiple lights out/flickering,Street Lights,Street Lights,Road Safety & Defects
Street Name Plates,Street Name Plates,Street Furniture,Environmental Disruptions
"Bridge, Subway or Culvert on a road or f",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Restricted Visibility,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grass and Hedges,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Sign problem,Road Markings,Road Safety,Road Safety & Defects
Flickering Light,Street Lights,Street Lights,Road Safety & Defects
"Damaged Railing, manhole, or drain cover",Road Surface Defects,Road Surface Defects,Road Safety & Defects
"Bridge, Subway Or Culvert on a road or footway",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Street needs gritting,Gritting,Gritting,Road Safety & Defects
Slabs - Uneven / Damaged / Cracked,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Request Parking Restrictions,Parking,Parking,Abandoned Vehicles & Parking
Works not complete,Road Works,Grounds Maintenance,Road Safety & Defects
Timing issue,Traffic Lights,Road Safety,Road Safety & Defects
Noisy Ironwork,Manhole Covers,Drainage,Environmental Health
Trees overhanging/obstructing the road o,Overgrown Vegetation,Right of Way,Access
Complaint,Other,Other,Other
Vegetation or Weeds,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Street lights,Street Lights,Street Lights,Road Safety & Defects
Footpaths/ Rights of way (usually not ta,Right of Way,Right of Way,Access
Blocked drainage gully,Blocked Drains,Drainage,Environmental Health
General (Flooding/Drains),Flooding,Drainage,Environmental Health
Footpaths & rights of way,Right of Way,Right of Way,Access
Removal of Debris,Debris/Spillage,Rubbish,Environmental Health
Overhanging tree/foliage/bush,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Excessive or dangerous littering,Accumulated Litter,Rubbish,Environmental Health
Incorrect timetable information,Other,Other,Other
Emergency - Tree (Other),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Grass Cutting on a verge or open space,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damaged or missing cover,Road Works,Grounds Maintenance,Road Safety & Defects
Cycle Hangars,Street Furniture,Street Furniture,Road Safety & Defects
Flooding of a property,Flooding,Drainage,Environmental Health
Gritting,Gritting,Gritting,Road Safety & Defects
Missing Gully/Manhole,Manhole Covers,Drainage,Environmental Health
Broken Kerb Stones,Broken Kerbs,Other,Environmental Disruptions
Food Safety - Pest Control,Other,Other,Other
"Bridge, Subway or Culvert in an open spa",Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Signs and bollards,Street Signs,Road Safety,Road Safety & Defects
Fence Damaged/Missing Hazard,Fences,Fences,Environmental Disruptions
Gully or Manhole,Manhole Covers,Drainage,Environmental Health
Highways Drainage on a road or footway,Highway Drainage,Drainage,Environmental Health
Debris / Rubbish,Debris/Spillage,Rubbish,Environmental Health
Underpass light,Pavement /Footway Defects,Right of Way,Access
Signal Failure/Damaged - Toucan/Pelican,Street Signs,Road Safety,Road Safety & Defects
Parking on street,Parking,Parking,Abandoned Vehicles & Parking
Trees or shrubs blocking visibility,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Manhole Cover - Damaged (rocking or noisy),Manhole Covers,Drainage,Environmental Health
Utility cabinets,Utility Works,Utility Works,Environmental Disruptions
Overflowing Street Litter Bin,Litter/Litter Bin,Rubbish,Environmental Health
Refuse and recycling,Bin Collection,Rubbish,Environmental Health
Recycling and waste,Recycling,Rubbish,Environmental Health
Safety Bollard - Damaged/Missing,Street Signs,Road Safety,Road Safety & Defects
Tourist Signs,Street Signs,Street Furniture,Other
Damage to pedestrian guardrail,Street Furniture,Road Safety,Road Safety & Defects
Ice/Snow,Ice & Snow,Gritting,Road Safety & Defects
Unauthorised shop display,Other,Other,Other
Property Damage,Property Damage,Property Damage,Environmental Disruptions
Highway Condition,Highway Condition,Road Surface Defects,Road Safety & Defects
Traffic Lights (temporary only),Traffic Lights,Road Safety,Road Safety & Defects
Application for a Large Household Wheelie Bin,Other,Other,Other
Ragwort,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Parks & open spaces,Open Spaces/Parks,Open Spaces/Parks,Public Space
Blocked Drains,Blocked Drains,Drainage,Environmental Health
Traffic sign,Traffic Lights,Road Safety,Road Safety & Defects
Road obstruction,Debris/Spillage,Rubbish,Environmental Health
Play Area Issues on a verge or open space,Open Spaces/Parks,Open Spaces/Parks,Public Space
Carriageway Condition,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Road Markings - Worn/Faded,Road Markings,Road Safety,Road Safety & Defects
Street light leaning,Street Lights,Street Lights,Road Safety & Defects
Dangerous Building,Dangerous Building/Structure,Dangerous Building/Structure,Environmental Disruptions
Damage - general (Trees),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Public Trees,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Shrub Pruning,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Column/lantern damaged/leaning,Street Furniture,Street Furniture,Road Safety & Defects
Parks Repairs,Open Spaces/Parks,Open Spaces/Parks,Environmental Disruptions
Damage - wires exposed on bus shelter,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Mud on Road,Debris/Spillage,Rubbish,Environmental Health
Graffiti or Flyposting (not offensive),Graffiti,Incivilities,Incivilities
Illegally parked vehicle,Parking,Parking,Abandoned Vehicles & Parking
General (Inv./Pro. Spec.),Other,Other,Other
Vegetation or Weeds on a verge or open s,Overgrown Vegetation,Right of Way,Access
All out - three or more street lights in a row,Street Lights,Street Lights,Road Safety & Defects
Problem at LCC roadworks,Road Works,Grounds Maintenance,Road Safety & Defects
Structure Issue,Other,Other,Other
Graffiti and flyposting,Graffiti,Incivilities,Incivilities
Weed Growth,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Pothole (Council Car Park),Potholes,Road Surface Defects,Road Safety & Defects
Road works,Road Works,Grounds Maintenance,Road Safety & Defects
Traffic Sign obstructed (vegetation),Street Signs,Road Safety,Road Safety & Defects
Traffic light / crossing - timing issues,Traffic Lights,Road Safety,Road Safety & Defects
Broken drain cover,Manhole Covers,Drainage,Environmental Health
Public Tree related issue,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Phoenix HA,Phoenix HA,Other,Other
Surface Condition,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Utility Work,Utility Works,Utility Works,Environmental Disruptions
Slurry or Mud on the Highway,Road Surface Defects,Street Furniture,Road Safety & Defects
Loose / Raised/Sunken,Pavement /Footway Defects,Right of Way,Access
Drainage Structure: Leakage,Blocked Drains,Drainage,Environmental Health
Weed spraying,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Car Parking,Parking,Parking,Abandoned Vehicles & Parking
Fire hydrants,Broken Fire Hydrant,Other,Environmental Disruptions
Public Rights of Ways,Right of Way,Right of Way,Access
Road traffic signs,Street Signs,Road Safety,Road Safety & Defects
Structure Damaged,Other,Other,Other
All signal lights out,Street Lights,Street Lights,Road Safety & Defects
Graffiti / Flyposting on street light (offensive),Graffiti,Incivilities,Incivilities
Abandoned and untaxed vehicles,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Overflowing litter bin,Litter/Litter Bin,Rubbish,Environmental Health
Unstable hoardings,Other,Other,Other
Pothole (minor),Potholes,Road Surface Defects,Road Safety & Defects
Potholes,Potholes,Road Surface Defects,Road Safety & Defects
Road Marking,Road Markings,Road Safety,Road Safety & Defects
Parking within pay and display car parks,Parking,Parking,Abandoned Vehicles & Parking
Parking related road markings,Parking,Parking,Abandoned Vehicles & Parking
Pests in trees and shrubs,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Sign/Waymarking - Damaged/Missing,Street Signs,Road Safety,Road Safety & Defects
Surface cover,Flooding,Drainage,Environmental Health
Defective road markings or signs,Road Markings,Road Safety,Road Safety & Defects
Carparks,Parking,Parking,Abandoned Vehicles & Parking
SL Post Knockdown,Other,Other,Other
Veg Obstructed: Hway Vis,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Car parks (council run),Parking,Parking,Abandoned Vehicles & Parking
Street Light Fault,Street Lights,Street Lights,Road Safety & Defects
Ditch Problem Non Hazardous,Gullies,Drainage,Environmental Health
Tree Obstruction to 3rd Party,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic Lights - Temporary,Traffic Lights,,Road Safety & Defects
Watercourse Block/Obstruction,Obstruction,Right of Way,Access
Vegetation Or Weeds on a verge or open space,Overgrown Vegetation,Right of Way,Access
Obstructing The Verge,Overgrown Vegetation,Pavement /Footway Defects,Road Safety & Defects
C.C.T.V Faults,C.C.T.V Faults,Other,Environmental Disruptions
Vandalised tree,Other,Other,Other
Street light dim,Street Lights,Street Lights,Road Safety & Defects
Rubbish accumulation on private property,Accumulated Litter,Rubbish,Environmental Health
Other public drainage issue,Gullies,Drainage,Environmental Health
Traffic Management,Traffic Lights,Road Safety,Road Safety & Defects
Road Traffic Signs and Road Markings,Street Signs,Road Safety,Road Safety & Defects
Zebra crossing light,Road Markings,Road Safety,Road Safety & Defects
General (Traf. & Roadw.),Road Works,Grounds Maintenance,Road Safety & Defects
Other public road issue,Other,Other,Other
Bus shelter,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Lamp/Bulb Failure,Street Lights,Street Lights,Road Safety & Defects
Veg Impeding FW/CW,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Signal Stuck,Street Signs,Road Safety,Road Safety & Defects
Blocked/Damaged,Blocked Drains,Drainage,Environmental Health
Sign (unlit),Road Markings,Road Safety,Road Safety & Defects
Manhole/drain cover on road/cycleway,Manhole Covers,Drainage,Environmental Health
1 signal light out,Street Lights,Street Lights,Road Safety & Defects
"Street lighting (parks, car parks and op",Street Lights,Street Lights,Road Safety & Defects
Highway Bridges - Damaged/Unsafe,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Missed Food Waste Collection,Missed Bin Collection,Rubbish,Environmental Health
Timing of proposed works,Road Works,Grounds Maintenance,Road Safety & Defects
Litter,Litter/Litter Bin,Rubbish,Environmental Health
General Information Request,Other,Other,Other
Damaged Speed Humps,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Signs,Street Signs,Road Safety,Road Safety & Defects
Road and Pavement Issues,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Speeding Issues,Other,Other,Other
Tree is dead or dying,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Damage to grass verges,Verge Damage,Road Safety,Road Safety & Defects
Damage - bus stop leaning,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Pothole,Potholes,Road Surface Defects,Road Safety & Defects
Property damage,Property Damage,Property Damage,Environmental Disruptions
Traffic bollard,Street Furniture,Street Furniture,Road Safety & Defects
Trees and Woodland Maintenance,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Kerbs,Broken Kerbs,Other,Environmental Disruptions
Pothole on road/cycleway,Potholes,Road Surface Defects,Road Safety & Defects
Tree blocking daylight,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Bin bags,Litter/Litter Bin,Rubbish,Environmental Health
Standing water,Flooding,Drainage,Environmental Health
Bus stops,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Gates/Stiles on a public right of way,Gates/Stiles RoW,Right of Way,Access
Park / open space,Open Spaces/Parks,Open Spaces/Parks,Public Space
Graffiti or flyposting (offensive),Graffiti,Incivilities,Incivilities
Overhanging Branches,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Tree or Shrub on a road or footway,Trees on RoW,Right of Way,Access
Lighting enquiry,Street Lights,Street Lights,Road Safety & Defects
Blocked - flooding private property,Blocked Drains,Drainage,Environmental Health
Overhanging branches,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Traffic sign light,Street Signs,Road Safety,Road Safety & Defects
Carriageway defect,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Pedestrian Barriers - Damaged / Missing,Pavement /Footway Defects,Right of Way,Access
Icy Footpath,Ice & Snow,Gritting,Road Safety & Defects
Passage-Obstructed/Overgrown,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Grit bin issue,Grit Bins,Gritting,Road Safety & Defects
Bench Damaged Hazard,Street Furniture,Street Furniture,Road Safety & Defects
Subway Lighting,Street Lights,Street Lights,Road Safety & Defects
Abandoned vehicles,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Paved OS CP Surface Issue,Other,Other,Other
Bus Stops,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Pavement and road repairs,Pavement /Footway Defects,Road Surface Defects,Road Safety & Defects
Dog Bins,Dog Litter Bin,Bin Replacement,Environmental Health
"Report ice, snow, and frost on roads and footpaths",Ice & Snow,Gritting,Road Safety & Defects
Abandoned Santander Cycle,Abandoned Vehicles,Abandoned Vehicles,Abandoned Vehicles & Parking
Quality/Speed of Service,Other,Other,Other
Other street defect,Road/Pavement Defects,Road Surface Defects,Road Safety & Defects
Demo,Demo,Other,Other
Gully,Gullies,Drainage,Environmental Health
Mud / Slippery surface,Road Surface Defects,Road Surface Defects,Road Safety & Defects
General (SL & Signals),Other,Other,Other
Pedestrian Barrier Issue,Pavement /Footway Defects,Right of Way,Access
Sport Area,Open Spaces/Parks,Open Spaces/Parks,Public Space
Utility Works and Manhole Covers,Utility Works,Utility Works,Environmental Disruptions
Hazardous or fallen trees,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Car parks,Parking,Parking,Abandoned Vehicles & Parking
Rats,Pest Control,Environmental Health,Environmental Health
Request Timing Review,Street Signs,Road Safety,Road Safety & Defects
Contractor Enquiry/Complaints,Other,Other,Other
Trade Waste,Trade Waste,Rubbish,Environmental Health
Bus stop/shelter issue,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Pothole on a road or footway,Potholes,Road Surface Defects,Road Safety & Defects
Discarded Syringes,Discarded Syringes,Rubbish,Environmental Health
Garage areas,Garden Waste,Rubbish,Environmental Health
Illuminated Sign,Street Lights,Street Lights,Road Safety & Defects
Noxious/Injurious Weed Hazard,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Road works problem,Road Works,Grounds Maintenance,Road Safety & Defects
Trip hazard/uneven surface,Trip Hazard,Rubbish,Environmental Health
Fly-Tipping,Fly-tipping,Rubbish,Environmental Health
Dead animal,Dead Animals,Environmental Health,Environmental Health
Dumped cylinder,Dumped Rubbish,Rubbish,Environmental Health
Light Out,Street Lights,Street Lights,Road Safety & Defects
Street furniture,Street Furniture,Street Furniture,Environmental Disruptions
Road Signage,Street Signs,Road Safety,Road Safety & Defects
Pavement defect,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Lighting,Street Lights,Street Lights,Road Safety & Defects
Problem with tree stumps,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Other,Other,Other,Other
Pavements & kerbs,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Tree (dangerous),Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Fly-posting,Flyposting,Incivilities,Incivilities
Pavement Damaged/Cracked,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Pavement,Pavement /Footway Defects,Right of Way,Access
Graffiti / Flyposting on stop or shelter (non-offensive),Graffiti,Incivilities,Incivilities
Tree Roots,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Highway Schemes,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Surface Defect on a public right of way,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Road Works,Road Works,Grounds Maintenance,Road Safety & Defects
Offensive Graffiti on Property,Graffiti,Incivilities,Incivilities
Public toilets,Public Toilets,Public Toilets,Access
Damage - lighting not working (bus shelter),Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Litter Bin overflow in Parks & Open spaces,Litter/Litter Bin,Rubbish,Environmental Health
"Damaged road edge, encroaches more than 100mm",Road Surface Defects,Road Surface Defects,Road Safety & Defects
Drainage,Blocked Drains,Drainage,Environmental Health
Highways,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Miscellaneous,Other,Other,Other
Bus shelters,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Trunkroad or motorway defect,Highway Condition,Road Surface Defects,Road Safety & Defects
Park / Open space,Open Spaces/Parks,Open Spaces/Parks,Public Space
Damaged/missing paving slab,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Sign or Marking,Sign or Marking,Road Safety,Road Safety & Defects
Tree Pruning Request,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Bridge or Structure,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Bus Stop Sign Missing/Damaged,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Dying or dangerous tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Bin bags/ Cardboard boxes,Litter/Litter Bin,Rubbish,Environmental Health
Restricted Visibility / Overgrown / Overhanging,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Low hanging branches,Trees and Hedges RoW,Right of Way,Access
Traffic Lights (permanent only),Traffic Lights,Road Safety,Road Safety & Defects
Replacement Refuse and Recycling Bins,Missed Bin Collection,Rubbish,Environmental Health
Sign Or Marking,Sign or Marking,Road Safety,Road Safety & Defects
Obstruction on pavement/verge,Obstruction,Right of Way,Access
Flooding/drainage,Flooding,Drainage,Environmental Health
Overgrown vegetation,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Gully or manhole defect,Gully/Manhole Defects,Drainage,Environmental Health
Timetable Missing/Damaged,Bus Stops Damage,Bus Stops Damage,Environmental Disruptions
Fly Posting,Flyposting,Rubbish,Incivilities
Unsecured void properties,Other,Other,Other
General (Cleanliness),Other,Other,Other
Lights too bright/ dull,Street Lights,Street Lights,Road Safety & Defects
Disabled Parking Bays,Parking,Parking,Abandoned Vehicles & Parking
Litter Bin overflow,Litter/Litter Bin,Rubbish,Environmental Health
Street works and obstructions,Road Works,Grounds Maintenance,Road Safety & Defects
Tree Or Shrub,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Faulty street light,Street Lights,Street Lights,Road Safety & Defects
Flytipping (off-road),Fly-tipping,Rubbish,Environmental Health
Spillage on network,Spillage on Road,Rubbish,Environmental Health
General Fault,General Highways Enquiries,Highways Enquiries,Road Safety & Defects
Zebra crossing,Zebra Crossing,Road Safety,Road Safety & Defects
Flooded underpass,Flooding,Drainage,Environmental Health
Fallen Branches,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Graffiti On Council Property,Graffiti,Incivilities,Incivilities
Winter Maintenance,Road Works,Grounds Maintenance,Road Safety & Defects
Hedges / Trees on road or verge,Trees and Hedges RoW,Right of Way,Access
Problem with tree roots,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Multiple potholes (various sizes),Potholes,Road Surface Defects,Road Safety & Defects
Street Light Leaning,Street Lights,Street Lights,Road Safety & Defects
Road Traffic Signs,Street Signs,Road Safety,Road Safety & Defects
Collapsed verge,Road Surface Defects,Road Surface Defects,Road Safety & Defects
Litter in Parks & Open spaces,Litter/Litter Bin,Rubbish,Environmental Health
Drainage Or Flooding on a public right of way,Blocked Drains,Drainage,Environmental Health
Flooding in the road,Flooding,Drainage,Environmental Health
Traffic Signals Damaged,Traffic Lights,Road Safety,Road Safety & Defects
Request new container,Bin Repair/Replacement,Bin Replacement,Environmental Health
Hedges,Overgrown Vegetation,,
Emergency - Leaning tree,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Road Safety & Defects
Traffic Signal Timing (perm),Traffic Lights,Road Safety,Road Safety & Defects
Debris & spillage,Debris/Spillage,Rubbish,Environmental Health
Single pothole (less than 30cm wide and 4cm deep),Street Signs,Road Surface Defects,Road Safety & Defects
Shopping trolleys,Shopping Trolley,Incivilities,Incivilities
Single pothole (more than 30cm wide and 4cm deep),Potholes,Road Surface Defects,Road Safety & Defects
Tree obscuring streetlight,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Skip problem,Skips,Rubbish,Environmental Health
Flooding of a road or pavement,Blocked Drains,Drainage,Environmental Health
